PERIOD,YEAR,STATS_VALUE
October,2018,78.1
November,2018,76
December,2018,75.2
January,2019,75.4
February,2019,75.4
March,2019,85.5
April,2019,79.3
May,2019,86.1
June,2019,85.2
July,2019,90.7
August,2019,79.7
September,2019,76.7
October,2019,77
November,2019,76
December,2019,73.5
January,2020,73.4
February,2020,74.6
March,2020,80.8
April,2020,85.4
May,2020,86.8
June,2020,91
July,2020,89.1
August,2020,88.9
September,2020,78.5
October,2020,82.7
November,2020,75.8
December,2020,70.6
January,2021,75
February,2021,74
March,2021,80.3
April,2021,81.6
May,2021,81.6
June,2021,91.6
July,2021,86.8
August,2021,82.3
September,2021,77.1
October,2021,81
November,2021,77.9
December,2021,76.8
January,2022,70.7
February,2022,80.6
March,2022,75.9
April,2022,80.1
May,2022,88.2
June,2022,87.1
July,2022,87.3
August,2022,86.6
September,2022,78.5
October,2022,79.6
November,2022,78.9
December,2022,79
January,2023,81.2
February,2023,85.3
March,2023,85.7
April,2023,77.7
May,2023,89.1
June,2023,87.2
July,2023,82.7
August,2023,84.8
September,2023,82.1
October,2023,78.9
November,2023,74.8
December,2023,79
January,2024,73.6
February,2024,76.6
March,2024,78.7
April,2024,83.3
May,2024,84.3
June,2024,90
July,2024,91.9
August,2024,84.5
September,2024,73.7
October,2024,76.9
November,2024,72.7
December,2024,73.8
January,2025,70.3
February,2025,75.9
March,2025,81.6
April,2025,84.7
May,2025,86.7
June,2025,91.1
July,2025,91.8
August,2025,83.3
