PERIOD,YEAR,STATS_VALUE
October,2018,12.8
November,2018,14.3
December,2018,16.5
January,2019,18.4
February,2019,17.4
March,2019,18.2
April,2019,14
May,2019,14.2
June,2019,11.4
July,2019,12.2
August,2019,11.4
September,2019,12
October,2019,12.8
November,2019,14.9
December,2019,16.1
January,2020,16.4
February,2020,17.7
March,2020,15.8
April,2020,15.4
May,2020,13.5
June,2020,13.1
July,2020,11.8
August,2020,12.5
September,2020,12.1
October,2020,14.5
November,2020,15
December,2020,15.1
January,2021,17.2
February,2021,16.8
March,2021,16.4
April,2021,16.2
May,2021,13.6
June,2021,13.7
July,2021,11.6
August,2021,11.8
September,2021,12.2
October,2021,14.2
November,2021,16.4
December,2021,18.8
January,2022,17.6
February,2022,20.2
March,2022,16.5
April,2022,16.2
May,2022,14.9
June,2022,13
July,2022,13.1
August,2022,12.7
September,2022,12.5
October,2022,13.6
November,2022,16.1
December,2022,17.9
January,2023,18.8
February,2023,19
March,2023,16.9
April,2023,16.2
May,2023,15.9
June,2023,12.1
July,2023,11.8
August,2023,10.9
September,2023,13.3
October,2023,13.4
November,2023,14.4
December,2023,17.9
January,2024,18.6
February,2024,17.7
March,2024,15.4
April,2024,15.9
May,2024,12.5
June,2024,13.1
July,2024,11.8
August,2024,11.9
September,2024,12
October,2024,13.2
November,2024,14.3
December,2024,16.7
January,2025,15.8
February,2025,18
March,2025,16.5
April,2025,17.7
May,2025,14.3
June,2025,13.1
July,2025,12.2
August,2025,10.8
