PERIOD,YEAR,STATS_VALUE
September,2018,3.4
October,2018,2.9
November,2018,3.3
December,2018,3.3
January,2019,3.5
February,2019,3
March,2019,2.5
April,2019,2.4
May,2019,2.6
June,2019,2.5
July,2019,2.5
August,2019,3.9
September,2019,3.9
October,2019,4.2
November,2019,3.5
December,2019,3.7
January,2020,3.4
February,2020,3.1
March,2020,2.9
April,2020,2.8
May,2020,2.6
June,2020,3
July,2020,3
August,2020,3.2
September,2020,3.6
October,2020,3.3
November,2020,3.6
December,2020,3.5
January,2021,3.1
February,2021,3.2
March,2021,2.8
April,2021,2.7
May,2021,2.9
June,2021,2.7
July,2021,3.1
August,2021,3.4
September,2021,3.6
October,2021,3.8
November,2021,2.8
December,2021,3.5
January,2022,3.2
February,2022,3.7
March,2022,3.3
April,2022,2.8
May,2022,2.7
June,2022,3
July,2022,3.5
August,2022,2.8
September,2022,3
October,2022,3.2
November,2022,3.5
December,2022,2.9
January,2023,3.9
February,2023,3.6
March,2023,2.5
April,2023,3.5
May,2023,3.6
June,2023,2.7
July,2023,3.8
August,2023,2.4
September,2023,3.8
October,2023,3.7
November,2023,3.1
December,2023,3.3
January,2024,3.1
February,2024,2.8
March,2024,3
April,2024,2.8
May,2024,2.8
June,2024,2.5
July,2024,2.4
August,2024,2.8
September,2024,3.4
October,2024,3.6
November,2024,3.3
December,2024,3.3
January,2025,3.7
February,2025,2.7
March,2025,2.5
April,2025,3.7
May,2025,2.6
June,2025,2.7
July,2025,2.9
August,2025,2.8
