Year,Month,Value
2018,Oct,0.4
2018,Nov,-0.1
2018,Dec,1.0
2019,Jan,-0.0
2019,Feb,-1.4
2019,Mar,-0.3
2019,Apr,0.1
2019,May,-0.4
2019,Jun,-0.5
2019,Jul,-0.4
2019,Aug,-0.1
2019,Sep,-1.2
2019,Oct,-0.4
2019,Nov,-0.8
2019,Dec,-0.6
2020,Jan,0.2
2020,Feb,-0.1
2020,Mar,-0.1
2020,Apr,0.2
2020,May,0.4
2020,Jun,-0.4
2020,Jul,0.4
2020,Aug,1.1
2020,Sep,0.9
2020,Oct,0.5
2020,Nov,0.7
2020,Dec,1.8
2021,Jan,1.9
2021,Feb,1.5
2021,Mar,0.4
2021,Apr,0.3
2021,May,0.5
2021,Jun,0.4
2021,Jul,1.4
2021,Aug,0.6
2021,Sep,0.8
2021,Oct,0.7
2021,Nov,1.0
2021,Dec,1.5
2022,Jan,0.5
2022,Feb,1.1
2022,Mar,1.8
2022,Apr,1.7
2022,May,1.4
2022,Jun,1.7
2022,Jul,0.8
2022,Aug,1.0
2022,Sep,1.6
2022,Oct,1.7
2022,Nov,0.3
2022,Dec,2.1
2023,Jan,1.4
2023,Feb,1.4
2023,Mar,0.2
2023,Apr,0.2
2023,May,-1.0
2023,Jun,0.3
2023,Jul,-0.3
2023,Aug,-0.8
2023,Sep,-1.3
2023,Oct,-0.5
2023,Nov,-0.8
2023,Dec,-0.2
2024,Jan,0.5
2024,Feb,-1.4
2024,Mar,0.4
2024,Apr,-0.2
2024,May,0.5
2024,Jun,0.0
2024,Jul,-0.7
2024,Aug,0.9
2024,Sep,-0.1
2024,Oct,0.5
2024,Nov,0.5
2024,Dec,1.2
2025,Jan,0.2
2025,Feb,0.5
2025,Mar,1.7
2025,Apr,0.5
2025,May,0.4
2025,Jun,0.3
2025,Jul,0.6
2025,Aug,0.4
