Frequency [D/H],Observation time UTC,Data Source,Direction [deg T],PERIOD [hrs],Speed [m/s]
H,2013-10-15T05:00:00Z,S,240,0.17,8.24
H,2013-10-15T08:00:00Z,S,250,0.17,8.75
H,2014-01-08T08:00:00Z,S,270,0.17,8.75
H,2014-09-30T14:00:00Z,S,180,0.17,4.12
H,2014-11-06T02:00:00Z,S,220,0.17,10.3
H,2015-09-30T14:00:00Z,S,10,0.17,1.54
H,2016-09-30T14:00:00Z,S,360,0.17,1.03
H,2016-12-14T11:00:00Z,S,250,0.17,7.72
H,2016-12-15T11:00:00Z,S,240,0.17,8.24
H,2017-06-21T00:00:00Z,S,70,0.17,11.84
H,2017-06-21T03:00:00Z,S,70,0.17,8.24
H,2017-06-21T06:00:00Z,S,70,0.17,7.21
H,2017-06-21T09:00:00Z,S,90,0.17,7.21
H,2017-06-21T12:00:00Z,S,80,0.17,6.18
H,2017-06-21T15:00:00Z,S,100,0.17,5.66
H,2017-06-21T18:00:00Z,S,90,0.17,5.15
H,2017-06-21T21:00:00Z,S,70,0.17,8.24
H,2017-06-22T00:00:00Z,S,60,0.17,7.72
H,2017-06-22T03:00:00Z,S,70,0.17,7.21
H,2017-06-22T06:00:00Z,S,120,0.17,2.06
H,2017-06-22T09:00:00Z,S,130,0.17,5.66
H,2017-06-22T12:00:00Z,S,100,0.17,1.54
H,2017-06-22T15:00:00Z,S,140,0.17,2.57
H,2017-06-22T18:00:00Z,S,140,0.17,2.06
H,2017-06-22T21:00:00Z,S,80,0.17,1.54
H,2017-06-23T00:00:00Z,S,250,0.17,3.09
H,2017-06-23T03:00:00Z,S,260,0.17,2.57
H,2017-06-23T06:00:00Z,S,300,0.17,1.03
H,2017-06-23T09:00:00Z,S,150,0.17,1.03
H,2017-06-23T12:00:00Z,S,130,0.17,0.51
H,2017-06-23T15:00:00Z,S,220,0.17,2.06
H,2017-06-23T18:00:00Z,S,220,0.17,7.21
H,2017-06-23T21:00:00Z,S,220,0.17,7.21
H,2017-06-24T00:00:00Z,S,240,0.17,10.81
H,2017-06-24T03:00:00Z,S,240,0.17,10.81
H,2017-06-24T06:00:00Z,S,250,0.17,11.32
H,2017-06-24T09:00:00Z,S,240,0.17,8.75
H,2017-06-24T12:00:00Z,S,260,0.17,6.69
H,2017-06-24T15:00:00Z,S,260,0.17,6.18
H,2017-06-24T18:00:00Z,S,350,0.17,2.06
H,2017-06-24T21:00:00Z,S,360,0.17,2.57
H,2017-06-25T00:00:00Z,S,280,0.17,5.15
H,2017-06-25T03:00:00Z,S,270,0.17,4.63
H,2017-06-25T06:00:00Z,S,220,0.17,3.6
H,2017-06-25T09:00:00Z,S,210,0.17,4.12
H,2017-06-25T12:00:00Z,S,170,0.17,3.6
H,2017-06-25T15:00:00Z,S,180,0.17,2.06
H,2017-06-25T18:00:00Z,S,150,0.17,1.03
H,2017-06-25T21:00:00Z,S,220,0.17,5.66
H,2017-06-26T00:00:00Z,S,200,0.17,6.18
H,2017-06-26T03:00:00Z,S,210,0.17,6.69
H,2017-06-26T06:00:00Z,S,210,0.17,4.12
H,2017-06-26T09:00:00Z,S,220,0.17,4.12
H,2017-06-26T12:00:00Z,S,110,0.17,0.51
H,2017-06-26T15:00:00Z,S,250,0.17,0.51
H,2017-06-26T18:00:00Z,S,120,0.17,1.03
H,2017-06-26T21:00:00Z,S,200,0.17,1.03
H,2017-06-27T00:00:00Z,S,220,0.17,1.54
H,2017-06-27T03:00:00Z,S,210,0.17,3.09
H,2017-06-27T06:00:00Z,S,200,0.17,4.12
H,2017-06-27T09:00:00Z,S,190,0.17,1.03
H,2017-06-27T12:00:00Z,S,120,0.17,2.06
H,2017-06-27T15:00:00Z,S,170,0.17,2.57
H,2017-06-27T18:00:00Z,S,170,0.17,2.57
H,2017-06-27T21:00:00Z,S,210,0.17,2.06
H,2017-06-28T00:00:00Z,S,240,0.17,2.06
H,2017-06-28T03:00:00Z,S,200,0.17,1.54
H,2017-06-28T06:00:00Z,S,20,0.17,2.06
H,2017-06-28T09:00:00Z,S,180,0.17,3.09
H,2017-06-28T12:00:00Z,S,140,0.17,2.06
H,2017-06-28T15:00:00Z,S,130,0.17,1.03
H,2017-06-28T18:00:00Z,S,170,0.17,2.06
H,2017-06-28T21:00:00Z,S,170,0.17,1.54
H,2017-06-29T00:00:00Z,S,220,0.17,2.06
H,2017-06-29T03:00:00Z,S,210,0.17,2.06
H,2017-06-29T06:00:00Z,S,200,0.17,3.09
H,2017-06-29T09:00:00Z,S,70,0.17,1.54
H,2017-06-29T12:00:00Z,S,10,0.17,1.03
H,2017-06-29T15:00:00Z,S,110,0.17,2.06
H,2017-06-29T18:00:00Z,S,50,0.17,0.51
H,2017-06-29T21:00:00Z,S,200,0.17,1.54
H,2017-06-30T00:00:00Z,S,170,0.17,1.03
H,2017-06-30T03:00:00Z,S,30,0.17,6.18
H,2017-06-30T06:00:00Z,S,50,0.17,4.12
H,2017-06-30T09:00:00Z,S,60,0.17,5.15
H,2017-06-30T12:00:00Z,S,40,0.17,4.63
H,2017-06-30T15:00:00Z,S,30,0.17,7.21
H,2017-06-30T18:00:00Z,S,40,0.17,8.24
H,2017-06-30T21:00:00Z,S,30,0.17,9.78
H,2017-07-01T00:00:00Z,S,30,0.17,10.3
H,2017-07-01T03:00:00Z,S,40,0.17,10.81
H,2017-07-01T06:00:00Z,S,40,0.17,10.3
H,2017-07-01T09:00:00Z,S,30,0.17,10.3
H,2017-07-01T12:00:00Z,S,50,0.17,4.12
H,2017-07-01T15:00:00Z,S,30,0.17,4.63
H,2017-07-01T18:00:00Z,S,10,0.17,3.09
H,2017-07-01T21:00:00Z,S,40,0.17,2.06
H,2017-07-02T00:00:00Z,S,30,0.17,6.69
H,2017-07-02T03:00:00Z,S,60,0.17,4.12
H,2017-07-02T06:00:00Z,S,30,0.17,1.54
H,2017-07-02T09:00:00Z,S,110,0.17,1.03
H,2017-07-02T12:00:00Z,S,360,0.17,2.57
H,2017-07-02T15:00:00Z,S,20,0.17,2.57
H,2017-07-02T18:00:00Z,S,20,0.17,3.6
H,2017-07-02T21:00:00Z,S,350,0.17,3.6
H,2017-07-03T00:00:00Z,S,340,0.17,5.15
H,2017-07-03T03:00:00Z,S,350,0.17,1.54
H,2017-07-03T06:00:00Z,S,230,0.17,3.6
H,2017-07-03T09:00:00Z,S,220,0.17,4.12
H,2017-07-03T12:00:00Z,S,210,0.17,2.57
H,2017-07-03T15:00:00Z,S,150,0.17,1.54
H,2017-07-03T18:00:00Z,S,250,0.17,3.6
H,2017-07-03T21:00:00Z,S,90,0.17,1.03
H,2017-07-04T00:00:00Z,S,230,0.17,7.21
H,2017-07-04T03:00:00Z,S,240,0.17,6.69
H,2017-07-04T06:00:00Z,S,260,0.17,4.12
H,2017-07-04T09:00:00Z,S,250,0.17,4.63
H,2017-07-04T12:00:00Z,S,230,0.17,5.15
H,2017-07-04T15:00:00Z,S,260,0.17,3.09
H,2017-07-04T18:00:00Z,S,350,0.17,2.57
H,2017-07-04T21:00:00Z,S,40,0.17,1.54
H,2017-07-05T00:00:00Z,S,210,0.17,1.03
H,2017-07-05T03:00:00Z,S,230,0.17,1.54
H,2017-07-05T06:00:00Z,S,360,0.17,2.57
H,2017-07-05T09:00:00Z,S,10,0.17,2.06
H,2017-07-05T12:00:00Z,S,40,0.17,3.09
H,2017-07-05T15:00:00Z,S,70,0.17,2.06
H,2017-07-05T18:00:00Z,S,40,0.17,3.09
H,2017-07-05T21:00:00Z,S,40,0.17,1.54
H,2017-07-06T00:00:00Z,S,40,0.17,3.6
H,2017-07-06T03:00:00Z,S,40,0.17,3.6
H,2017-07-06T06:00:00Z,S,50,0.17,1.54
H,2017-07-06T09:00:00Z,S,10,0.17,2.57
H,2017-07-06T12:00:00Z,S,50,0.17,2.57
H,2017-07-06T15:00:00Z,S,110,0.17,2.06
H,2017-07-06T18:00:00Z,S,80,0.17,1.03
H,2017-07-06T21:00:00Z,S,60,0.17,2.06
H,2017-07-07T00:00:00Z,S,20,0.17,1.54
H,2017-07-07T03:00:00Z,S,210,0.17,3.09
H,2017-07-07T06:00:00Z,S,160,0.17,4.12
H,2017-07-07T09:00:00Z,S,180,0.17,4.12
H,2017-07-07T12:00:00Z,S,180,0.17,1.03
H,2017-07-07T15:00:00Z,S,50,0.17,1.03
H,2017-07-07T18:00:00Z,S,30,0.17,2.06
H,2017-07-07T21:00:00Z,S,30,0.17,2.57
H,2017-07-08T00:00:00Z,S,360,0.17,2.57
H,2017-07-08T03:00:00Z,S,290,0.17,4.63
H,2017-07-08T06:00:00Z,S,350,0.17,2.57
H,2017-07-08T09:00:00Z,S,40,0.17,3.6
H,2017-07-08T12:00:00Z,S,20,0.17,3.09
H,2017-07-08T15:00:00Z,S,70,0.17,4.63
H,2017-07-08T18:00:00Z,S,70,0.17,2.57
H,2017-07-08T21:00:00Z,S,350,0.17,4.12
H,2017-07-09T00:00:00Z,S,280,0.17,5.66
H,2017-07-09T03:00:00Z,S,270,0.17,6.69
H,2017-07-09T06:00:00Z,S,250,0.17,4.12
H,2017-07-09T09:00:00Z,S,250,0.17,4.63
H,2017-07-09T12:00:00Z,S,220,0.17,8.24
H,2017-07-09T15:00:00Z,S,210,0.17,5.15
H,2017-07-09T18:00:00Z,S,220,0.17,6.69
H,2017-07-09T21:00:00Z,S,220,0.17,5.66
H,2017-07-10T00:00:00Z,S,220,0.17,6.18
H,2017-07-10T03:00:00Z,S,230,0.17,7.21
H,2017-07-10T06:00:00Z,S,210,0.17,3.6
H,2017-07-10T09:00:00Z,S,220,0.17,2.06
H,2017-07-10T12:00:00Z,S,230,0.17,1.03
H,2017-07-10T15:00:00Z,S,10,0.17,2.06
H,2017-07-10T18:00:00Z,S,270,0.17,5.15
H,2017-07-10T21:00:00Z,S,350,0.17,2.06
H,2017-07-11T00:00:00Z,S,240,0.17,3.09
H,2017-07-11T03:00:00Z,S,230,0.17,5.15
H,2017-07-11T06:00:00Z,S,300,0.17,4.12
H,2017-07-11T09:00:00Z,S,320,0.17,3.09
H,2017-07-11T12:00:00Z,S,70,0.17,1.54
H,2017-07-11T15:00:00Z,S,360,0.17,3.6
H,2017-07-11T18:00:00Z,S,200,0.17,3.6
H,2017-07-11T21:00:00Z,S,220,0.17,9.78
H,2017-07-12T00:00:00Z,S,260,0.17,6.18
H,2017-07-12T03:00:00Z,S,220,0.17,6.69
H,2017-07-12T06:00:00Z,S,220,0.17,2.57
H,2017-07-12T09:00:00Z,S,180,0.17,1.54
H,2017-07-12T12:00:00Z,S,170,0.17,5.66
H,2017-07-12T15:00:00Z,S,190,0.17,4.12
H,2017-07-12T18:00:00Z,S,180,0.17,5.15
H,2017-07-12T21:00:00Z,S,210,0.17,6.18
H,2017-07-13T00:00:00Z,S,220,0.17,9.27
H,2017-07-13T03:00:00Z,S,240,0.17,13.9
H,2017-07-13T06:00:00Z,S,210,0.17,12.87
H,2017-07-13T09:00:00Z,S,190,0.17,5.66
H,2017-07-13T12:00:00Z,S,180,0.17,5.15
H,2017-07-13T15:00:00Z,S,180,0.17,6.18
H,2017-07-13T18:00:00Z,S,200,0.17,6.18
H,2017-07-13T21:00:00Z,S,210,0.17,6.69
H,2017-07-14T00:00:00Z,S,210,0.17,9.78
H,2017-07-14T03:00:00Z,S,200,0.17,12.87
H,2017-07-14T06:00:00Z,S,190,0.17,5.15
H,2017-07-14T09:00:00Z,S,210,0.17,7.72
H,2017-07-14T12:00:00Z,S,200,0.17,3.6
H,2017-07-14T15:00:00Z,S,200,0.17,2.57
H,2017-07-14T18:00:00Z,S,150,0.17,1.03
H,2017-07-14T21:00:00Z,S,110,0.17,1.03
H,2017-07-15T00:00:00Z,S,220,0.17,3.09
H,2017-07-15T03:00:00Z,S,210,0.17,3.6
H,2017-07-15T06:00:00Z,S,200,0.17,3.09
H,2017-07-15T09:00:00Z,S,120,0.17,0.51
H,2017-07-15T12:00:00Z,S,340,0.17,0.51
H,2017-07-15T15:00:00Z,S,20,0.17,2.06
H,2017-07-15T18:00:00Z,S,20,0.17,1.54
H,2017-07-15T21:00:00Z,S,90,0.17,1.54
H,2017-07-16T00:00:00Z,S,240,0.17,2.06
H,2017-07-16T03:00:00Z,S,250,0.17,4.12
H,2017-07-16T06:00:00Z,S,270,0.17,4.12
H,2017-07-16T09:00:00Z,S,350,0.17,2.57
H,2017-07-16T12:00:00Z,S,30,0.17,2.57
H,2017-07-16T15:00:00Z,S,10,0.17,3.09
H,2017-07-16T18:00:00Z,S,10,0.17,2.57
H,2017-07-16T21:00:00Z,S,10,0.17,2.57
H,2017-07-17T00:00:00Z,S,360,0.17,4.12
H,2017-07-17T03:00:00Z,S,330,0.17,4.12
H,2017-07-17T06:00:00Z,S,360,0.17,3.09
H,2017-07-17T09:00:00Z,S,350,0.17,4.12
H,2017-07-17T12:00:00Z,S,350,0.17,3.6
H,2017-07-17T15:00:00Z,S,360,0.17,3.09
H,2017-07-17T18:00:00Z,S,50,0.17,2.06
H,2017-07-17T21:00:00Z,S,20,0.17,1.54
H,2017-07-18T00:00:00Z,S,20,0.17,3.6
H,2017-07-18T03:00:00Z,S,60,0.17,3.09
H,2017-07-18T06:00:00Z,S,70,0.17,2.06
H,2017-07-18T09:00:00Z,S,80,0.17,1.54
H,2017-07-18T12:00:00Z,S,0,0.17,0
H,2017-07-18T15:00:00Z,S,350,0.17,1.03
H,2017-07-18T18:00:00Z,S,30,0.17,1.54
H,2017-07-18T21:00:00Z,S,140,0.17,0.51
H,2017-07-19T00:00:00Z,S,230,0.17,1.54
H,2017-07-19T03:00:00Z,S,360,0.17,3.6
H,2017-07-19T06:00:00Z,S,320,0.17,3.09
H,2017-07-19T09:00:00Z,S,50,0.17,2.06
H,2017-07-19T12:00:00Z,S,40,0.17,2.06
H,2017-07-19T15:00:00Z,S,60,0.17,2.06
H,2017-07-19T18:00:00Z,S,70,0.17,4.63
H,2017-07-19T21:00:00Z,S,60,0.17,5.15
H,2017-07-20T00:00:00Z,S,70,0.17,9.27
