PERIOD,YEAR,STATS_VALUE
October,2018,14.1
November,2018,16.2
December,2018,18.9
January,2019,21.2
February,2019,20.5
March,2019,19.9
April,2019,15.7
May,2019,15
June,2019,11.7
July,2019,11.9
August,2019,12.2
September,2019,13.3
October,2019,14.7
November,2019,17.5
December,2019,19.2
January,2020,19.7
February,2020,21.2
March,2020,18.5
April,2020,16.3
May,2020,13.9
June,2020,13.2
July,2020,11.6
August,2020,12.4
September,2020,13.1
October,2020,15.7
November,2020,17.3
December,2020,18.6
January,2021,20.1
February,2021,20.2
March,2021,19
April,2021,17.1
May,2021,14.5
June,2021,13.4
July,2021,11.7
August,2021,12.3
September,2021,13.2
October,2021,15.6
November,2021,18.1
December,2021,21
January,2022,21.2
February,2022,21.9
March,2022,20
April,2022,17.7
May,2022,15.1
June,2022,13.4
July,2022,13.2
August,2022,13
September,2022,13.5
October,2022,15.2
November,2022,17.7
December,2022,19.7
January,2023,20.1
February,2023,20.1
March,2023,18.2
April,2023,17.7
May,2023,15.8
June,2023,12.4
July,2023,12.4
August,2023,10.8
September,2023,14
October,2023,15.3
November,2023,16.7
December,2023,19.6
January,2024,21.4
February,2024,20.3
March,2024,17.6
April,2024,16.7
May,2024,13
June,2024,13.2
July,2024,11.4
August,2024,12.3
September,2024,13.9
October,2024,15.1
November,2024,16.9
December,2024,19.6
January,2025,19.7
February,2025,21.2
March,2025,18.9
April,2025,18.5
May,2025,14.7
June,2025,13
July,2025,11.9
August,2025,11.1
