PERIOD,YEAR,STATS_VALUE
October,2018,1020.7
November,2018,1013.9
December,2018,1014.7
January,2019,1017
February,2019,1016.6
March,2019,1024.2
April,2019,1020.9
May,2019,1022.4
June,2019,1017.1
July,2019,1015.8
August,2019,1012.3
September,2019,1015.7
October,2019,1014.9
November,2019,1016.4
December,2019,1014.2
January,2020,1017.9
February,2020,1019.3
March,2020,1018.2
April,2020,1018.2
May,2020,1022
June,2020,1019.6
July,2020,1019.1
August,2020,1015.7
September,2020,1022.1
October,2020,1024.8
November,2020,1015.2
December,2020,1017.2
January,2021,1015.2
February,2021,1019.2
March,2021,1018.4
April,2021,1015.6
May,2021,1019
June,2021,1019.3
July,2021,1017.5
August,2021,1018.7
September,2021,1018.7
October,2021,1018.2
November,2021,1018.2
December,2021,1015.6
January,2022,1017.9
February,2022,1017.5
March,2022,1017.6
April,2022,1021.2
May,2022,1022.8
June,2022,1014.7
July,2022,1017.6
August,2022,1022.1
September,2022,1021.3
October,2022,1020.6
November,2022,1012
December,2022,1014.6
January,2023,1014.8
February,2023,1013
March,2023,1016.7
April,2023,1017.8
May,2023,1017.2
June,2023,1013.5
July,2023,1012.4
August,2023,1020.3
September,2023,1021.2
October,2023,1019.3
November,2023,1017.3
December,2023,1017.9
January,2024,1016.8
February,2024,1018.4
March,2024,1017.9
April,2024,1020.7
May,2024,1017.4
June,2024,1019.1
July,2024,1019.3
August,2024,1021.6
September,2024,1017.1
October,2024,1017.6
November,2024,1021.7
December,2024,1011.3
January,2025,1012.7
February,2025,1018.7
March,2025,1020.5
April,2025,1017.7
May,2025,1022
June,2025,1017
July,2025,1018.3
August,2025,1020.5
