PERIOD,YEAR,STATS_VALUE
October,2018,73.4
November,2018,89
December,2018,224.4
January,2019,36.4
February,2019,22
March,2019,56.8
April,2019,65.4
May,2019,55.6
June,2019,65.6
July,2019,139.6
August,2019,168
September,2019,122.8
October,2019,75.4
November,2019,56.4
December,2019,55.6
January,2020,8.4
February,2020,12.4
March,2020,27.2
April,2020,24.8
May,2020,97.8
June,2020,139.6
July,2020,94.2
August,2020,115.8
September,2020,43.4
October,2020,33
November,2020,96.6
December,2020,25.6
January,2021,54
February,2021,59
March,2021,48.4
April,2021,81.4
May,2021,54.8
June,2021,93.4
July,2021,88.4
August,2021,103.6
September,2021,124
October,2021,126.2
November,2021,28.4
January,2022,5.4
February,2022,64.6
March,2022,107.8
April,2022,22.6
May,2022,68.8
June,2022,148.2
July,2022,256.6
August,2022,141.8
September,2022,105.2
October,2022,109.4
November,2022,152.8
December,2022,97
January,2023,478.4
February,2023,189.6
March,2023,36.6
April,2023,95.4
May,2023,232
June,2023,119.2
July,2023,104
August,2023,58.6
September,2023,127.8
October,2023,53.4
November,2023,65.8
December,2023,111.4
January,2024,21
February,2024,34.8
March,2024,67.4
April,2024,77.4
May,2024,123.6
August,2024,97.2
September,2024,73.6
October,2024,92.4
November,2024,74.6
December,2024,64.4
January,2025,38.8
February,2025,7.2
March,2025,25.8
April,2025,216.6
May,2025,102.2
June,2025,187.6
July,2025,221.4
August,2025,62.8
