PERIOD,YEAR,STATS_VALUE
October,2018,246.5
November,2018,223.7
December,2018,219.1
January,2019,287.9
February,2019,251.8
March,2019,222.6
April,2019,212.3
May,2019,157.4
June,2019,160.8
July,2019,160.9
August,2019,157.6
September,2019,180.7
October,2019,188.6
November,2019,266.2
December,2019,260
January,2020,278.4
February,2020,269.8
March,2020,211.4
April,2020,202.9
May,2020,153.7
June,2020,132.7
July,2020,117.7
August,2020,154.3
September,2020,186.9
October,2020,210.7
November,2020,212.8
December,2020,256.1
January,2021,280.9
February,2021,244.5
March,2021,192.4
April,2021,168.6
May,2021,158.5
June,2021,128.4
July,2021,174.7
August,2021,160.7
September,2021,168.2
October,2021,173.4
November,2021,222.6
December,2021,214.7
January,2022,313.6
February,2022,192.9
March,2022,242.5
April,2022,194.1
May,2022,175.2
June,2022,125
July,2022,123.5
August,2022,149.6
September,2022,169.1
October,2022,175.1
November,2022,173.2
December,2022,225
January,2023,145.1
February,2023,189.1
March,2023,258.8
April,2023,150
May,2023,124.5
June,2023,155.6
July,2023,137
August,2023,180.4
September,2023,177.5
October,2023,174.5
November,2023,228.1
December,2023,165
January,2024,277.3
February,2024,259.5
March,2024,210.4
April,2024,178.4
August,2024,181.1
September,2024,200.2
October,2024,242.4
November,2024,219.9
December,2024,274.9
January,2025,297.1
February,2025,265
March,2025,277.5
April,2025,150.7
May,2025,191.5
June,2025,150
July,2025,159.8
August,2025,201
