Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2013-08-01T00:00:00Z,S,0,6,,,
S,2013-08-01T06:00:00Z,S,0,6,,,
S,2013-08-01T12:00:00Z,S,0,6,,,
S,2013-08-01T18:00:00Z,S,0.6,6,,,
S,2013-08-02T00:00:00Z,S,0,6,,,
S,2013-08-02T06:00:00Z,S,0,6,,,
S,2013-08-02T12:00:00Z,S,0,6,,,
S,2013-08-02T18:00:00Z,S,0,6,,,
S,2013-08-03T00:00:00Z,S,0,6,,,
S,2013-08-03T06:00:00Z,S,0,6,,,
S,2013-08-03T12:00:00Z,S,0,6,,,
S,2013-08-03T18:00:00Z,S,0,6,,,
S,2013-08-04T00:00:00Z,S,0,6,,,
S,2013-08-04T06:00:00Z,S,0,6,,,
S,2013-08-04T12:00:00Z,S,0,6,,,
S,2013-08-04T18:00:00Z,S,0,6,,,
S,2013-08-05T00:00:00Z,S,0.6,6,,,
S,2013-08-05T06:00:00Z,S,0,6,,,
S,2013-08-05T12:00:00Z,S,0,6,,,
S,2013-08-05T18:00:00Z,S,0,6,,,
S,2013-08-06T00:00:00Z,S,0,6,,,
S,2013-08-06T06:00:00Z,S,0,6,,,
S,2013-08-06T12:00:00Z,S,0,6,,,
S,2013-08-06T18:00:00Z,S,0,6,,,
S,2013-08-07T00:00:00Z,S,0.2,6,,,
S,2013-08-07T12:00:00Z,S,0,6,,,
S,2013-08-07T18:00:00Z,S,0,6,,,
S,2013-08-08T00:00:00Z,S,0,6,,,
S,2013-08-08T06:00:00Z,S,0,6,,,
S,2013-08-08T12:00:00Z,S,0,6,,,
S,2013-08-08T18:00:00Z,S,0.2,6,,,
S,2013-08-09T00:00:00Z,S,0,6,,,
S,2013-08-09T06:00:00Z,S,0,6,,,
S,2013-08-09T12:00:00Z,S,0,6,,,
S,2013-08-09T18:00:00Z,S,0,6,,,
S,2013-08-10T00:00:00Z,S,0.4,6,,,
S,2013-08-10T06:00:00Z,S,3,6,,,
S,2013-08-10T12:00:00Z,S,3,6,,,
S,2013-08-10T18:00:00Z,S,4,6,,,
S,2013-08-11T00:00:00Z,S,3,6,,,
S,2013-08-11T06:00:00Z,S,1,6,,,
S,2013-08-11T12:00:00Z,S,1,6,,,
S,2013-08-11T18:00:00Z,S,1,6,,,
S,2013-08-12T00:00:00Z,S,7,6,,,
S,2013-08-12T06:00:00Z,S,2,6,,,
S,2013-08-12T12:00:00Z,S,0.6,6,,,
S,2013-08-12T18:00:00Z,S,1,6,,,
S,2013-08-13T00:00:00Z,S,0.4,6,,,
S,2013-08-13T06:00:00Z,S,3,6,,,
S,2013-08-13T12:00:00Z,S,5,6,,,
S,2013-08-13T18:00:00Z,S,1,6,,,
S,2013-08-14T00:00:00Z,S,0.8,6,,,
S,2013-08-14T06:00:00Z,S,0.8,6,,,
S,2013-08-14T12:00:00Z,S,0,6,,,
S,2013-08-14T18:00:00Z,S,0,6,,,
S,2013-08-15T00:00:00Z,S,0,6,,,
S,2013-08-15T06:00:00Z,S,0.2,6,,,
S,2013-08-15T12:00:00Z,S,0,6,,,
S,2013-08-15T18:00:00Z,S,0,6,,,
S,2013-08-16T00:00:00Z,S,0,6,,,
S,2013-08-16T06:00:00Z,S,6,6,,,
S,2013-08-16T12:00:00Z,S,1,6,,,
S,2013-08-16T18:00:00Z,S,0.4,6,,,
S,2013-08-17T00:00:00Z,S,0.2,6,,,
S,2013-08-17T06:00:00Z,S,4,6,,,
S,2013-08-17T12:00:00Z,S,8,6,,,
S,2013-08-17T18:00:00Z,S,0,6,,,
S,2013-08-18T00:00:00Z,S,0,6,,,
S,2013-08-18T06:00:00Z,S,0,6,,,
S,2013-08-18T12:00:00Z,S,0,6,,,
S,2013-08-18T18:00:00Z,S,0,6,,,
S,2013-08-19T00:00:00Z,S,0,6,,,
S,2013-08-19T06:00:00Z,S,0.4,6,,,
S,2013-08-19T12:00:00Z,S,9,6,,,
S,2013-08-19T18:00:00Z,S,3,6,,,
S,2013-08-20T00:00:00Z,S,0,6,,,
S,2013-08-20T06:00:00Z,S,0.2,6,,,
S,2013-08-20T12:00:00Z,S,0,6,,,
S,2013-08-20T18:00:00Z,S,0,6,,,
S,2013-08-21T00:00:00Z,S,5,6,,,
S,2013-08-21T06:00:00Z,S,4,6,,,
S,2013-08-21T12:00:00Z,S,14,6,,,
S,2013-08-21T18:00:00Z,S,3,6,,,
S,2013-08-22T00:00:00Z,S,0.2,6,,,
S,2013-08-22T06:00:00Z,S,0,6,,,
S,2013-08-22T12:00:00Z,S,0,6,,,
S,2013-08-22T18:00:00Z,S,0,6,,,
S,2013-08-23T00:00:00Z,S,3,6,,,
S,2013-08-23T06:00:00Z,S,0.2,6,,,
S,2013-08-23T12:00:00Z,S,0,6,,,
S,2013-08-23T18:00:00Z,S,0,6,,,
S,2013-08-24T00:00:00Z,S,0,6,,,
S,2013-08-24T06:00:00Z,S,0.2,6,,,
S,2013-08-24T12:00:00Z,S,0,6,,,
S,2013-08-24T18:00:00Z,S,17,6,,,
S,2013-08-25T00:00:00Z,S,6,6,,,
S,2013-08-25T06:00:00Z,S,0.4,6,,,
S,2013-08-25T12:00:00Z,S,0.8,6,,,
S,2013-08-25T18:00:00Z,S,0,6,,,
S,2013-08-26T00:00:00Z,S,0.4,6,,,
S,2013-08-26T06:00:00Z,S,0.2,6,,,
S,2013-08-26T12:00:00Z,S,0.2,6,,,
S,2013-08-26T18:00:00Z,S,0.2,6,,,
S,2013-08-27T00:00:00Z,S,0,6,,,
S,2013-08-27T06:00:00Z,S,0,6,,,
S,2013-08-27T12:00:00Z,S,0,6,,,
S,2013-08-27T18:00:00Z,S,0,6,,,
S,2013-08-28T00:00:00Z,S,0.2,6,,,
S,2013-08-28T06:00:00Z,S,0,6,,,
S,2013-08-28T12:00:00Z,S,0.2,6,,,
S,2013-08-28T18:00:00Z,S,3,6,,,
S,2013-08-29T00:00:00Z,S,7,6,,,
S,2013-08-29T06:00:00Z,S,2,6,,,
S,2013-08-29T12:00:00Z,S,3,6,,,
S,2013-08-29T18:00:00Z,S,0.8,6,,,
S,2013-08-30T06:00:00Z,S,0,6,,,
S,2013-08-30T12:00:00Z,S,0,6,,,
S,2013-08-30T18:00:00Z,S,0,6,,,
S,2013-08-31T00:00:00Z,S,0,6,,,
S,2013-08-31T06:00:00Z,S,0,6,,,
S,2013-08-31T12:00:00Z,S,0,6,,,
S,2013-08-31T18:00:00Z,S,0,6,,,
S,2013-09-01T00:00:00Z,S,0,6,,,
S,2013-09-01T06:00:00Z,S,0,6,,,
S,2013-09-01T12:00:00Z,S,0,6,,,
S,2013-09-01T18:00:00Z,S,0,6,,,
S,2013-09-02T00:00:00Z,S,0,6,,,
S,2013-09-02T06:00:00Z,S,0,6,,,
S,2013-09-02T12:00:00Z,S,0,6,,,
S,2013-09-02T18:00:00Z,S,0,6,,,
S,2013-09-03T00:00:00Z,S,0,6,,,
S,2013-09-03T06:00:00Z,S,0,6,,,
S,2013-09-03T12:00:00Z,S,0,6,,,
S,2013-09-03T18:00:00Z,S,0,6,,,
S,2013-09-04T00:00:00Z,S,0,6,,,
S,2013-09-04T06:00:00Z,S,10,6,,,
S,2013-09-04T12:00:00Z,S,1,6,,,
S,2013-09-04T18:00:00Z,S,2,6,,,
S,2013-09-05T00:00:00Z,S,6,6,,,
S,2013-09-05T06:00:00Z,S,0,6,,,
S,2013-09-05T12:00:00Z,S,0,6,,,
S,2013-09-05T18:00:00Z,S,0,6,,,
S,2013-09-06T00:00:00Z,S,0,6,,,
S,2013-09-06T06:00:00Z,S,0,6,,,
S,2013-09-06T12:00:00Z,S,0,6,,,
S,2013-09-06T18:00:00Z,S,0,6,,,
S,2013-09-07T00:00:00Z,S,0,6,,,
S,2013-09-07T06:00:00Z,S,0.6,6,,,
S,2013-09-07T12:00:00Z,S,3,6,,,
S,2013-09-07T18:00:00Z,S,8,6,,,
S,2013-09-08T00:00:00Z,S,0,6,,,
S,2013-09-08T06:00:00Z,S,0,6,,,
S,2013-09-08T12:00:00Z,S,0,6,,,
S,2013-09-08T18:00:00Z,S,0.8,6,,,
S,2013-09-09T06:00:00Z,S,0.2,6,,,
S,2013-09-09T12:00:00Z,S,0,6,,,
S,2013-09-09T18:00:00Z,S,0,6,,,
S,2013-09-10T00:00:00Z,S,0.2,6,,,
S,2013-09-10T06:00:00Z,S,0,6,,,
S,2013-09-10T12:00:00Z,S,0,6,,,
S,2013-09-10T18:00:00Z,S,0,6,,,
S,2013-09-11T00:00:00Z,S,0.2,6,,,
S,2013-09-11T06:00:00Z,S,0.2,6,,,
S,2013-09-11T12:00:00Z,S,0,6,,,
S,2013-09-11T18:00:00Z,S,2,6,,,
S,2013-09-12T00:00:00Z,S,15,6,,,
S,2013-09-12T06:00:00Z,S,1,6,,,
S,2013-09-12T12:00:00Z,S,0,6,,,
S,2013-09-12T18:00:00Z,S,0,6,,,
S,2013-09-13T00:00:00Z,S,0,6,,,
S,2013-09-13T06:00:00Z,S,0,6,,,
S,2013-09-13T12:00:00Z,S,5,6,,,
S,2013-09-13T18:00:00Z,S,2,6,,,
S,2013-09-14T00:00:00Z,S,1,6,,,
S,2013-09-14T06:00:00Z,S,1,6,,,
S,2013-09-14T12:00:00Z,S,2,6,,,
S,2013-09-14T18:00:00Z,S,0.2,6,,,
S,2013-09-15T00:00:00Z,S,0,6,,,
S,2013-09-15T06:00:00Z,S,0,6,,,
S,2013-09-15T12:00:00Z,S,0,6,,,
S,2013-09-15T18:00:00Z,S,0,6,,,
S,2013-09-16T00:00:00Z,S,0,6,,,
S,2013-09-16T06:00:00Z,S,0,6,,,
S,2013-09-16T12:00:00Z,S,0,6,,,
S,2013-09-16T18:00:00Z,S,0,6,,,
S,2013-09-17T00:00:00Z,S,0,6,,,
S,2013-09-17T06:00:00Z,S,0,6,,,
S,2013-09-17T12:00:00Z,S,0,6,,,
S,2013-09-17T18:00:00Z,S,0,6,,,
S,2013-09-18T00:00:00Z,S,0,6,,,
S,2013-09-18T06:00:00Z,S,0,6,,,
S,2013-09-18T12:00:00Z,S,0,6,,,
S,2013-09-18T18:00:00Z,S,0,6,,,
S,2013-09-19T00:00:00Z,S,0,6,,,
S,2013-09-19T06:00:00Z,S,0.8,6,,,
S,2013-09-19T12:00:00Z,S,3,6,,,
S,2013-09-19T18:00:00Z,S,0.4,6,,,
S,2013-09-20T00:00:00Z,S,0.6,6,,,
S,2013-09-20T06:00:00Z,S,0,6,,,
S,2013-09-20T12:00:00Z,S,0.4,6,,,
S,2013-09-20T18:00:00Z,S,0,6,,,
S,2013-09-21T00:00:00Z,S,0,6,,,
S,2013-09-21T06:00:00Z,S,0,6,,,
S,2013-09-21T12:00:00Z,S,3,6,,,
S,2013-09-21T18:00:00Z,S,33,6,,,
S,2013-09-22T00:00:00Z,S,0,6,,,
S,2013-09-22T06:00:00Z,S,0,6,,,
S,2013-09-22T18:00:00Z,S,0,6,,,
S,2013-09-23T00:00:00Z,S,0,6,,,
S,2013-09-23T06:00:00Z,S,0,6,,,
S,2013-09-23T12:00:00Z,S,0,6,,,
S,2013-09-23T18:00:00Z,S,0,6,,,
S,2013-09-24T00:00:00Z,S,3,6,,,
S,2013-09-24T06:00:00Z,S,14,6,,,
S,2013-09-24T12:00:00Z,S,6,6,,,
S,2013-09-24T18:00:00Z,S,0.8,6,,,
