,feature_name,feature_importance
0,Rainfall_motat_rain,0.08990912
1,Rainfall_albany_rain,0.035793528
2,Rainfall_albany_rain lag: 1,0.023091797
3,Rainfall mm lag: 1,0.019141676
4,Rainfall_motat_rain lag: 1,0.018713234
5,24 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.011609243
6,3 hr rolling avg Rainfall mm,0.010894368
7,Mean sea level pressure Hpa lag: 2,0.010439052
8,Rainfall_manukau_heads_rain,0.008690139
9,3 hr rolling avg Rainfall_motat_rain,0.008656479
10,3 hr rolling avg Rainfall_albany_rain,0.0081862705
11,Mean Relative Humidity percent,0.0081373975
12,P_grad_mang_man_t,0.007928994
13,Speed_manukau_heads_wind lag: 12,0.0076109534
14,Speed_manukau_heads_wind lag: 24,0.0075153257
15,P_grad_mang_motat_t,0.00748613
16,12 hr rolling avg Speed_manukau_heads_wind,0.0074544367
17,Speed_manukau_heads_wind lag: 2,0.0071434802
18,Mean sea level pressure Hpa,0.007027372
19,Sea_level_pressure_motat_pressure lag: 2,0.0067271655
20,24 hr rolling avg Rainfall mm,0.0065319603
21,3 hr rolling avg Speed_manukau_heads_wind,0.0064658197
22,Sea_level_pressure_motat_pressure lag: 6,0.00644173
23,6 hr rolling avg Rainfall_albany_rain,0.0063963463
24,6 hr rolling avg wind_cos,0.006261984
25,Station level pressure,0.0060405647
26,24 hr rolling avg Rainfall_manukau_heads_rain,0.006011196
27,Mean Relative Humidity percent lag: 1,0.0059907916
28,24 hr rolling avg Speed_manukau_heads_wind,0.005766659
29,wind_sin lag: 2,0.005757499
30,12 hr rolling avg wind_sin,0.0056620906
31,wind_cos,0.0056356094
32,6 hr rolling avg dewpoint (degC),0.0056033516
33,Speed_motat_wind lag: 1,0.005519865
34,3 hr rolling avg Mean sea level pressure Hpa,0.0054866606
35,wind_cos lag: 1,0.005477528
36,3 hr rolling avg Speed_albany_wind,0.005446611
37,Speed_albany_wind lag: 1,0.0053825695
38,Speed_albany_wind,0.0053797103
39,3 hr rolling avg wind_sin,0.0053331847
40,Speed_motat_wind lag: 6,0.005310889
41,12 hr rolling avg wind_cos,0.005231814
42,Mean sea level pressure Hpa lag: 12,0.005176671
43,24 hr rolling avg Sea_level_pressure_motat_pressure,0.0051598446
44,Speed_motat_wind,0.0051541193
45,Mean sea level pressure Hpa lag: 1,0.0050902558
46,6 hr rolling avg Speed_motat_wind,0.005076548
47,cloudiness lag: 6,0.0050752126
48,dewpoint (degC) lag: 2,0.0050190776
49,Sunshine hrs lag: 24,0.0049604075
50,months sin,0.0049398933
51,Sea_level_pressure_manukau_heads_pressure lag: 12,0.0049293255
52,3 hr rolling avg Mean Relative Humidity percent,0.0048969383
53,3 hr rolling avg Sea_level_pressure_albany_pressure,0.0048935744
54,12 hr rolling avg Speed_albany_wind,0.004889773
55,Sea_level_pressure_motat_pressure lag: 24,0.0048846244
56,dewtemp,0.004842259
57,months cos,0.004834906
58,Sea_level_pressure_motat_pressure,0.00481226
59,Rainfall_albany_rain lag: 24,0.0047840243
60,12 hr rolling avg Rainfall_albany_rain,0.0047781533
61,Sea_level_pressure_motat_pressure lag: 12,0.004768039
62,wind_sin lag: 6,0.004760729
63,6 hr rolling avg wind_sin,0.004748729
64,24 hr rolling avg Mean sea level pressure Hpa,0.0047416403
65,Mean Temperature Deg C,0.004702887
66,Mean sea level pressure Hpa lag: 6,0.0046977215
