,feature_name,feature_importance
0,6 hr rolling avg Mean sea level pressure Hpa,0.047299605
1,Rainfall_motat_rain,0.036121976
2,24 hr rolling avg Mean sea level pressure Hpa,0.029246436
3,12 hr rolling avg Mean sea level pressure Hpa,0.028799027
4,Rainfall mm lag: 1,0.025300281
5,24 hr rolling avg Rainfall_motat_rain,0.023622226
6,Mean sea level pressure Hpa lag: 12,0.022104088
7,3 hr rolling avg Sea_level_pressure_motat_pressure,0.020872585
8,3 hr rolling avg Rainfall mm,0.015964143
9,Speed_motat_wind,0.015402288
10,24 hr rolling avg cloudiness,0.012838947
11,Rainfall_mangere_rain,0.012084415
12,wind_cos lag: 3,0.009786044
13,24 hr rolling avg wind_sin,0.008581443
14,Sea_level_pressure_motat_pressure,0.008320751
15,12 hr rolling avg Rainfall_motat_rain,0.007937214
16,hour of day sin,0.007682215
17,12 hr rolling avg cloudiness,0.007516463
18,Speed_motat_wind lag: 1,0.0075133494
19,12 hr rolling avg wind_sin,0.0068609975
20,hour of day cos,0.006643897
21,Speed_mangere_wind lag: 3,0.006493717
22,Speed_motat_wind lag: 6,0.006427796
23,Mean sea level pressure Hpa lag: 1,0.0063488362
24,Sea_level_pressure_motat_pressure lag: 12,0.006252204
25,Sea_level_pressure_mangere_pressure,0.006108189
26,6 hr rolling avg wind_sin,0.006096544
27,Seasons_Autumn,0.005822824
28,Sea_level_pressure_motat_pressure lag: 3,0.005775766
29,3 hr rolling avg wind_sin,0.0057745753
30,24 hr rolling avg Speed_motat_wind,0.0055068876
31,24 hr rolling avg Sea_level_pressure_motat_pressure,0.005484795
32,Rainfall_motat_rain lag: 6,0.0054741935
33,12 hr rolling avg Speed_motat_wind,0.0054165926
34,Sea_level_pressure_manukau_heads_pressure lag: 6,0.0053993072
35,Sea_level_pressure_mangere_pressure lag: 1,0.0053655896
36,dewpoint (degC),0.005089004
37,Sea_level_pressure_motat_pressure lag: 6,0.00506547
38,6 hr rolling avg Rainfall mm,0.0050536883
39,wind_sin lag: 3,0.005021607
40,6 hr rolling avg Speed_mangere_wind,0.0049468004
41,Mean Relative Humidity percent,0.00491736
42,Rainfall_manukau_heads_rain,0.0049098134
43,Speed_motat_wind lag: 24,0.004887658
44,6 hr rolling avg Speed_motat_wind,0.0048836884
45,12 hr rolling avg Sea_level_pressure_motat_pressure,0.0048263255
46,Speed_motat_wind lag: 2,0.0048227357
47,Speed_mangere_wind lag: 1,0.0047862907
48,wind_sin,0.004758527
49,24 hr rolling avg wind_cos,0.004734088
50,6 hr rolling avg Rainfall_motat_rain,0.004706796
51,P_grad_alb_motat_t,0.0046948045
52,6 hr rolling avg Sea_level_pressure_mangere_pressure,0.004656252
53,Sea_level_pressure_mangere_pressure lag: 6,0.004650193
54,Rainfall_motat_rain lag: 1,0.004644215
55,Sea_level_pressure_motat_pressure lag: 24,0.004627011
56,months cos,0.0046074837
57,12 hr rolling avg Rainfall mm,0.004602477
58,Sea_level_pressure_mangere_pressure lag: 2,0.004525165
59,12 hr rolling avg Speed_manukau_heads_wind,0.004492697
60,P_grad_alb_mang,0.004490537
61,Sea_level_pressure_manukau_heads_pressure lag: 12,0.0044760006
62,24 hr rolling avg Rainfall mm,0.004416368
63,wind_sin lag: 1,0.0044144704
64,3 hr rolling avg Rainfall_motat_rain,0.004413655
65,Sea_level_pressure_mangere_pressure lag: 24,0.0043850793
66,Rainfall_motat_rain lag: 2,0.0043821395
67,12 hr rolling avg Rainfall_mangere_rain,0.004376612
68,P_grad_alb_man,0.0043696365
69,Speed_manukau_heads_wind lag: 6,0.004349041
70,3 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.004340143
71,24 hr rolling avg Speed_manukau_heads_wind,0.0043242173
72,Sea_level_pressure_mangere_pressure lag: 12,0.004320236
73,Rainfall_mangere_rain lag: 24,0.0043123416
74,wind_sin lag: 12,0.004285946
75,Mean sea level pressure Hpa,0.004255276
76,Speed_mangere_wind lag: 2,0.004235111
77,3 hr rolling avg Speed_mangere_wind,0.0042250846
78,6 hr rolling avg Mean Relative Humidity percent,0.004198227
79,wind_cos lag: 24,0.0041470286
80,Seasons_Summer,0.0041387663
81,3 hr rolling avg Mean Relative Humidity percent,0.004108659
82,Speed_mangere_wind lag: 24,0.004098202
83,dewpoint (degC) lag: 2,0.0040981905
84,24 hr rolling avg Mean Relative Humidity percent,0.00409412
85,Sea_level_pressure_manukau_heads_pressure lag: 24,0.0040901606
86,Rainfall_mangere_rain lag: 6,0.0040811785
87,Sea_level_pressure_manukau_heads_pressure lag: 2,0.0040759193
88,P_grad_alb_mang_t,0.0040713446
89,Sea_level_pressure_manukau_heads_pressure,0.00404829
90,24 hr rolling avg Sea_level_pressure_mangere_pressure,0.0040400974
91,3 hr rolling avg dewpoint (degC),0.004008444
92,Seasons_Spring,0.0039912784
