,feature_name,feature_importance
0,Rainfall_motat_rain,0.012548774
1,Rainfall_mangere_rain,0.010337773
2,Rainfall_albany_rain,0.0069062025
3,Mean Relative Humidity percent,0.0068493006
4,Rainfall mm lag: 1,0.006652235
5,Seasons_Spring,0.005647564
6,6 hr rolling avg Rainfall mm,0.005530562
7,3 hr rolling avg Mean Relative Humidity percent,0.00552617
8,cloudiness lag: 24,0.005433061
9,3 hr rolling avg Rainfall_albany_rain,0.00541199
10,Speed_motat_wind,0.005404981
11,12 hr rolling avg Mean sea level pressure Hpa,0.0053343917
12,Sea_level_pressure_mangere_pressure lag: 1,0.005317501
13,6 hr rolling avg Sea_level_pressure_motat_pressure,0.005315091
14,Sea_level_pressure_motat_pressure lag: 2,0.005305667
15,3 hr rolling avg Rainfall mm,0.005303529
16,3 hr rolling avg Speed_motat_wind,0.0052920026
17,P_grad_man_mang,0.0052913735
18,6 hr rolling avg Mean sea level pressure Hpa,0.0052674613
19,Sunshine hrs lag: 24,0.0052648275
20,Mean sea level pressure Hpa lag: 1,0.0052540964
21,Rainfall_albany_rain lag: 2,0.0052405256
22,12 hr rolling avg Sea_level_pressure_mangere_pressure,0.0052316473
23,Speed_motat_wind lag: 12,0.005230374
24,Sunshine hrs lag: 6,0.005212062
25,24 hr rolling avg Rainfall_albany_rain,0.005196401
26,Rainfall_motat_rain lag: 1,0.0051952316
27,Mean Relative Humidity percent lag: 12,0.005178718
28,cloudiness lag: 6,0.005178479
29,6 hr rolling avg Speed_mangere_wind,0.005178016
30,3 hr rolling avg Sea_level_pressure_albany_pressure,0.005174531
31,hour of day sin,0.005171789
32,24 hr rolling avg Sea_level_pressure_mangere_pressure,0.0051695635
33,3 hr rolling avg Speed_mangere_wind,0.0051662773
34,6 hr rolling avg Mean Relative Humidity percent,0.005163234
35,Rainfall_motat_rain lag: 2,0.005155698
36,Rainfall_albany_rain lag: 1,0.005155479
37,Sea_level_pressure_mangere_pressure lag: 24,0.005139482
38,Speed_motat_wind lag: 3,0.0051381933
39,6 hr rolling avg Rainfall_albany_rain,0.005137902
40,pressure trend cos,0.0051153554
41,temphum,0.005113585
42,P_grad_man_motat,0.00510018
43,Speed_mangere_wind lag: 3,0.0050940183
44,P_grad_man_mang_t,0.005092263
45,3 hr rolling avg Rainfall_motat_rain,0.0050783744
46,24 hr rolling avg cloudiness,0.005073882
47,Sea_level_pressure_mangere_pressure lag: 12,0.005072902
48,6 hr rolling avg Sea_level_pressure_albany_pressure,0.005072142
49,12 hr rolling avg Rainfall_mangere_rain,0.005067249
50,Rainfall mm lag: 3,0.0050643263
51,wind_sin lag: 1,0.0050637065
52,6 hr rolling avg wind_sin,0.0050537493
53,12 hr rolling avg Speed_mangere_wind,0.005051714
54,Sea_level_pressure_motat_pressure lag: 12,0.005051207
55,12 hr rolling avg dewpoint (degC),0.005040112
56,6 hr rolling avg wind_cos,0.005035379
57,3 hr rolling avg Rainfall_mangere_rain,0.005031708
58,Speed_motat_wind lag: 2,0.0050126356
59,3 hr rolling avg wind_cos,0.0050069396
60,24 hr rolling avg Speed_motat_wind,0.0050061736
61,Mean Relative Humidity percent lag: 2,0.005004235
62,Sea_level_pressure_albany_pressure lag: 3,0.0050021387
63,24 hr rolling avg Speed_mangere_wind,0.005001378
64,Speed_mangere_wind lag: 6,0.0049966257
65,wind_sin lag: 6,0.0049941726
66,Speed m/s,0.0049855392
