,feature_name,feature_importance
0,Rainfall_albany_rain,0.04483344
1,Rainfall_mangere_rain,0.020750787
2,Mean Relative Humidity percent lag: 3,0.01436243
3,Rainfall mm lag: 1,0.013225904
4,6 hr rolling avg Rainfall_mangere_rain,0.011915053
5,Speed_albany_wind lag: 1,0.011469138
6,24 hr rolling avg Rainfall_mangere_rain,0.011006437
7,6 hr rolling avg Mean Relative Humidity percent,0.010768675
8,Sea_level_pressure_mangere_pressure lag: 1,0.009146564
9,12 hr rolling avg Rainfall_mangere_rain,0.008912848
10,Speed_albany_wind,0.008615996
11,24 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.008228103
12,3 hr rolling avg Mean Relative Humidity percent,0.007156884
13,P_grad_motat_mang,0.007081789
14,Rainfall_albany_rain lag: 1,0.006783571
15,Rainfall_manukau_heads_rain,0.0067784516
16,Mean Relative Humidity percent lag: 2,0.0066575976
17,24 hr rolling avg Rainfall_albany_rain,0.0063071507
18,P_grad_motat_mang_t,0.0062749875
19,Sea_level_pressure_manukau_heads_pressure lag: 24,0.006071157
20,hour of day cos,0.0059837727
21,Mean Relative Humidity percent,0.0058571957
22,3 hr rolling avg Mean sea level pressure Hpa,0.005690413
23,P_grad_motat_alb,0.005636812
24,Sea_level_pressure_manukau_heads_pressure,0.0056129904
25,hour of day sin,0.005513756
26,Sunshine hrs lag: 24,0.0054527107
27,3 hr rolling avg Rainfall_albany_rain,0.005448702
28,3 hr rolling avg Speed_albany_wind,0.005436567
29,months sin,0.005378497
30,Mean sea level pressure Hpa lag: 3,0.00534936
31,Sea_level_pressure_mangere_pressure lag: 2,0.0053223628
32,Rainfall mm lag: 2,0.0053066076
33,3 hr rolling avg Rainfall_mangere_rain,0.0052781254
34,dewtemp,0.005243711
35,6 hr rolling avg Sea_level_pressure_mangere_pressure,0.005227697
36,Sunshine hrs lag: 2,0.0051565534
37,6 hr rolling avg Speed_manukau_heads_wind,0.005149894
38,Rainfall_manukau_heads_rain lag: 1,0.0051156282
39,12 hr rolling avg Speed_manukau_heads_wind,0.0050874683
40,Sea_level_pressure_mangere_pressure,0.00508307
41,12 hr rolling avg cloudiness,0.0050735204
42,P_grad_motat_alb_t,0.005060656
43,6 hr rolling avg Rainfall_manukau_heads_rain,0.0050561945
44,12 hr rolling avg wind_sin,0.005038066
45,12 hr rolling avg wind_cos,0.0050374544
46,Speed_manukau_heads_wind,0.005014833
47,Sea_level_pressure_albany_pressure lag: 2,0.004962063
48,3 hr rolling avg dewpoint (degC),0.0049510268
49,Sea_level_pressure_albany_pressure lag: 12,0.0049334443
50,24 hr rolling avg Speed_albany_wind,0.0049190857
51,wind_cos lag: 1,0.0049148947
52,Sea_level_pressure_albany_pressure lag: 6,0.004909687
53,3 hr rolling avg Rainfall mm,0.0048972247
54,Speed_albany_wind lag: 2,0.004888479
55,3 hr rolling avg wind_cos,0.0048875986
56,12 hr rolling avg Mean sea level pressure Hpa,0.0048741545
57,Speed_manukau_heads_wind lag: 1,0.0048644734
58,12 hr rolling avg Sea_level_pressure_mangere_pressure,0.004858278
59,12 hr rolling avg Speed_mangere_wind,0.004833098
60,3 hr rolling avg wind_sin,0.0048241806
61,Speed_mangere_wind lag: 24,0.0048193713
62,Station level pressure,0.004786217
63,6 hr rolling avg Speed_mangere_wind,0.0047526807
64,wind_sin lag: 6,0.0047480147
65,cloudiness lag: 12,0.0047318623
66,Sea_level_pressure_albany_pressure lag: 24,0.0047220676
67,Mean sea level pressure Hpa lag: 24,0.004715607
68,Seasons_Summer,0.004700659
69,12 hr rolling avg Sea_level_pressure_albany_pressure,0.004694776
70,24 hr rolling avg Rainfall mm,0.004693653
71,Rainfall mm lag: 12,0.004681005
72,dewpoint (degC) lag: 6,0.004662374
73,6 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.0046280827
74,months cos,0.0046224114
75,Speed_mangere_wind lag: 1,0.004620349
76,wind_sin lag: 12,0.0046133357
77,12 hr rolling avg Speed_albany_wind,0.004608898
78,12 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.004592339
79,Sea_level_pressure_manukau_heads_pressure lag: 3,0.004587755
80,12 hr rolling avg Rainfall_albany_rain,0.004582807
81,24 hr rolling avg Mean Relative Humidity percent,0.0045765387
