,Month,Year,Mean_9am_Humidity__percent,Mean_air_temperature__Deg_C,Mean_sea-level_pressure_at_9am__hPa,Mean_vapour_pressure__hPa,Mean_wind_speed__m_s,Total_rainfall__mm,Total_sunshine_hours__Hrs,time,timenew,month_num,cloudiness,Seasons,dewpoint (degC),ENSO cat,ENSO num,wind_direction,Months,wind_sin,wind_cos
0,October,2018,78.1,14.1,1020.7,12.8,3.4,73.4,246.5,October 2018,1538305200.0,10,479.0,Spring,10.340334413313926,Neutral,0.4,199.71924519396086,2018.10,-0.33741147182506487,-0.9413572641037213
1,November,2018,76.0,16.2,1013.9,14.3,2.9,89.0,223.7,November 2018,1540983600.0,11,501.8,Spring,11.964685069811152,Neutral,-0.1,165.5515585334224,2018.11,0.2495086994932823,-0.9683725568587592
3,January,2019,75.4,21.2,1017.0,18.4,3.3,36.4,287.9,January 2019,1546254000.0,1,437.6,Summer,16.676251469568882,Neutral,-0.0,217.27482922556246,2019.01,-0.6056388800471743,-0.7957396225997575
4,February,2019,75.4,20.5,1016.6,17.4,3.5,22.0,251.8,February 2019,1548932400.0,2,473.7,Summer,15.999983423469432,El Nino,-1.4,267.5052317961971,2019.02,-0.9990522003934008,-0.04352816202304019
6,April,2019,79.3,15.7,1020.9,14.0,2.5,65.4,212.3,April 2019,1554030000.0,4,513.2,Autumn,12.125304172650813,Neutral,0.1,240.60671915793588,2019.04,-0.8712713741139949,-0.4908015817512319
8,June,2019,85.2,11.7,1017.1,11.4,2.6,65.6,160.8,June 2019,1559304000.0,6,564.7,Winter,9.29647805611324,Neutral,-0.5,210.515231561449,2019.06,-0.5077674012931158,-0.8614942055429252
9,July,2019,90.7,11.9,1015.8,12.2,2.5,139.6,160.9,July 2019,1561896000.0,7,564.6,Winter,10.427483225365222,Neutral,-0.4,104.93461477875121,2019.07,0.9662205582895638,-0.2577165744351801
10,August,2019,79.7,12.2,1012.3,11.4,2.5,168.0,157.6,August 2019,1564574400.0,8,567.9,Winter,8.79518201369493,Neutral,-0.1,176.6006846810019,2019.08,0.05929444466786561,-0.9982405365599663
11,September,2019,76.7,13.3,1015.7,12.0,3.9,122.8,180.7,September 2019,1567252800.0,9,544.8,Spring,9.294363456386058,El Nino,-1.2,189.82537425045305,2019.09,-0.17064588435632155,-0.9853324221562229
12,October,2019,77.0,14.7,1014.9,12.8,3.9,75.4,188.6,October 2019,1569841200.0,10,536.9,Spring,10.709501267867708,Neutral,-0.4,195.6995493189222,2019.10,-0.27059287356063205,-0.9626938749042708
