Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2019-05-09T12:00:00Z,S,0,6,,,
S,2019-05-09T18:00:00Z,S,1,6,,,
S,2019-05-10T00:00:00Z,S,2,6,,,
S,2019-05-10T06:00:00Z,S,0,6,,,
S,2019-05-10T12:00:00Z,S,0,6,,,
S,2019-05-10T18:00:00Z,S,0,6,,,
S,2019-05-11T00:00:00Z,S,0,6,,,
S,2019-05-11T06:00:00Z,S,0,6,,,
S,2019-05-11T12:00:00Z,S,0,6,,,
S,2019-05-11T18:00:00Z,S,0,6,,,
S,2019-05-12T00:00:00Z,S,0.7,6,,,
S,2019-05-12T06:00:00Z,S,2,6,,,
S,2019-05-12T12:00:00Z,S,10,6,,,
S,2019-05-12T18:00:00Z,S,1,6,,,
S,2019-05-13T00:00:00Z,S,0,6,,,
S,2019-05-13T06:00:00Z,S,0,6,,,
S,2019-05-13T12:00:00Z,S,0,6,,,
S,2019-05-13T18:00:00Z,S,0,6,,,
S,2019-05-14T00:00:00Z,S,0,6,,,
S,2019-05-14T06:00:00Z,S,0,6,,,
S,2019-05-14T12:00:00Z,S,0,6,,,
S,2019-05-14T18:00:00Z,S,0,6,,,
S,2019-05-15T00:00:00Z,S,2,6,,,
S,2019-05-15T06:00:00Z,S,0,6,,,
S,2019-05-15T12:00:00Z,S,0,6,,,
S,2019-05-15T18:00:00Z,S,0.6,6,,,
S,2019-05-16T00:00:00Z,S,2,6,,,
S,2019-05-16T06:00:00Z,S,0.2,6,,,
S,2019-05-16T12:00:00Z,S,0.1,6,,,
S,2019-05-16T18:00:00Z,S,0.8,6,,,
S,2019-05-17T00:00:00Z,S,0.9,6,,,
S,2019-05-17T06:00:00Z,S,0,6,,,
S,2019-05-17T12:00:00Z,S,0,6,,,
S,2019-05-17T18:00:00Z,S,0,6,,,
S,2019-05-18T00:00:00Z,S,0,6,,,
S,2019-05-18T06:00:00Z,S,0,6,,,
S,2019-05-18T12:00:00Z,S,0.5,6,,,
S,2019-05-18T18:00:00Z,S,3,6,,,
S,2019-05-19T00:00:00Z,S,0.4,6,,,
S,2019-05-19T06:00:00Z,S,0.1,6,,,
S,2019-05-19T12:00:00Z,S,0,6,,,
S,2019-05-19T18:00:00Z,S,0,6,,,
S,2019-05-20T00:00:00Z,S,0,6,,,
S,2019-05-20T06:00:00Z,S,0,6,,,
S,2019-05-20T12:00:00Z,S,0,6,,,
S,2019-05-20T18:00:00Z,S,0,6,,,
S,2019-05-21T00:00:00Z,S,0,6,,,
S,2019-05-21T06:00:00Z,S,0,6,,,
S,2019-05-21T12:00:00Z,S,0,6,,,
S,2019-05-21T18:00:00Z,S,0,6,,,
S,2019-05-22T00:00:00Z,S,0,6,,,
S,2019-05-22T06:00:00Z,S,0,6,,,
S,2019-05-22T12:00:00Z,S,0.2,6,,,
S,2019-05-22T18:00:00Z,S,0.2,6,,,
